Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,total asset/total libiilities,EBTI/total asset,gross profit/rev,EBTI/REV,Stockholders Equity - Total,Interest and Related Expense - Total,Book Value Per Share,Inventories - Total,Operating Activities,Credit Score
24177.0,3149.0,2465.0,3559.0,5071.0,10786.0,14010.0,19292.0,1.725695931,0.209744799,0.439581041,0.206667482,10167.0,218.0,14.5262,2057.0,2559.0,A
6138.258,1.852,0.0,1038.563,817.557,817.557,2723.654,2974.951,2.253684939,0.133190394,0.608213547,0.608213547,3414.604,37.771,46.8428,14.251,670.2719999999999,BB
18889.0,474.0,727.0,6798.0,2505.0,4821.0,11856.0,1546.0,1.593201754,0.132616867,0.323318356,0.167996781,7033.0,498.0,8.9897,3215.0,1180.0,BBB-
8594.704,42.258,196.695,2455.986,865.336,865.336,5508.472,905.579,1.560270071,0.100682467,0.175136756,0.175136756,3086.232,130.795,30.743,284.621,-73.649,A-
4674.2,128.3,380.4,1145.7,847.9,1591.7,2439.6,3119.4,1.915969831,0.181400026,0.653299951,0.348013462,2234.6,68.6,18.4263,0.0,283.40000000000003,BBB+
3193.467,238.144,12.774,609.72,370.038,833.198,1295.467,1255.931,2.465108721,0.115873438,0.406206412,0.180403467,1898.0,33.01,59.2628,433.595,55.208,BB+
1231.925,103.003,3.0,363.526,402.908,705.611,810.884,421.041,1.51923703,0.327055624,0.30213646,0.172521683,421.041,16.567,33.8294,348.42,295.37,BBB
349493.0,4616.0,17468.0,11653.0,51379.0,65646.0,168429.0,389427.0,2.075016773,0.147010097,0.179968911,0.140855843,181064.0,630.0,41.5137,16678.0,17888.0,AAA
5340.5,109.5,525.2,1153.4,785.8,1494.1,3776.5,2608.7,1.414140077,0.147139781,0.370037398,0.194615747,1564.0,69.9,11.4801,636.5,350.0,A-
74929.0,577.0,4657.0,24367.0,6946.0,6946.0,54761.0,12733.0,1.368291302,0.09270109,0.408084131,0.408084131,20168.0,1274.0,44.9571,1292.0,-1000.0,A-
7067.0,332.0,127.0,2563.0,573.0,1342.0,6158.0,-1828.0,1.147612861,0.081081081,0.183408501,0.078310783,909.0,120.0,5.3723,1215.0,-35.0,B
1096.898,140.5,8.382,303.629,44.732,318.263,760.882,49.602,1.441613811,0.040780455,0.286304027,0.040240153,336.016,18.232,3.729,158.368,18.143,B+
5272.678,450.667,10.565,1434.724,702.92,2208.391,3141.982,1508.488,1.678137558,0.13331366,0.319228985,0.101609017,2130.696,83.601,12.3612,1766.922,202.84300000000002,BBB+
2408.974,7.523,50.164,728.94,428.234,1798.34,1285.93,711.048,1.873332141,0.177766136,0.479688704,0.114227016,1123.044,28.288,5.3645,147.158,281.66400000000004,BBB-
8194.429,1993.125,28.742,991.685,1408.916,1591.627,4970.599,3109.385,1.648579779,0.171935836,0.073920596,0.065434873,3223.83,29.681,20.9297,1587.275,666.4159999999999,A-
208527.0,10757.0,39172.0,79999.0,13489.0,24813.0,183353.0,4524.0,1.137297999,0.064687067,0.17222041,0.093623549,24832.0,3496.0,6.2703,7866.0,-3423.0,BBB-
1869.006,77.569,27.149,547.735,253.867,619.259,973.902,786.467,1.919090422,0.135829955,0.294261124,0.12063319,890.45,22.469,17.6909,251.29,-54.96399999999999,BBB
6937.5,209.9,601.3,3672.9,589.4,778.6,5623.5,1353.3,1.23366231,0.084958559,0.536595451,0.406202619,1314.0,159.3,29.7292,52.0,-262.2,BBB
11205.455,118.484,7.854,4488.028,1512.963,2996.029,7695.712,7823.6,1.456064754,0.13502022,0.498658827,0.251817441,3489.273,273.244,14.3553,38.861,-490.46400000000006,BB+
1921.6,265.9,5.3,776.9,149.7,187.6,2092.5,-401.2,0.91832736,0.07790383,0.117440841,0.093714787,-170.9,52.7,-2.9982,139.0,46.400000000000006,B
648349.0,90208.0,119331.0,245649.0,35350.0,73369.0,511516.0,137161.0,1.267504829,0.054523104,0.501991023,0.241864857,136833.0,9482.0,12.7428,17689.0,16958.0,AA+
177677.0,18954.0,14988.0,31853.0,12516.0,24272.0,141653.0,6504.0,1.254311592,0.070442432,0.155660589,0.080267301,36024.0,1899.0,22.1606,13642.0,-5675.0,BBB-
1561.504,99.837,5.734,398.878,175.736,305.709,912.395,764.598,1.711434192,0.112542779,0.168868092,0.097073371,649.109,18.921,15.0766,248.705,50.881,BB+
18109.0,2161.0,178.0,6216.0,2244.0,4964.0,13682.0,200.0,1.323563806,0.123916285,0.273679568,0.123718161,3845.0,529.0,13.396,2671.0,11.0,BB-
4095.2,557.5,96.8,1919.0,584.3,1327.8,3726.2,268.3,1.099028501,0.142679234,0.409435708,0.18017268,369.0,128.7,5.0176,332.8,-849.8999999999999,BBB-
5300.755,226.644,80.3,404.536,1627.477,4540.568,2016.654,6239.317,2.628490063,0.307027395,0.45565373,0.163320088,3284.101,12.093,47.6016,1365.5,758.1229999999999,AA+
1871.58,30.769,0.0,1236.401,192.941,222.144,1655.388,-223.751,1.130598989,0.103089903,0.43717602,0.37970496,216.192,68.913,3.6956,0.0,-384.964,B+
3667.4,85.1,65.7,1087.4,471.5,966.6,2444.2,1137.3,1.500450045,0.128565196,0.228020099,0.11122644,1223.2,83.2,23.9319,381.1,180.5,BB
4642.2,250.6,10.0,953.5,207.9,874.3,4824.9,-1211.7,0.96213393,0.0447848,0.600934772,0.142896419,-182.7,44.2,-2.9468,0.0,34.099999999999994,BB-
1716.355,50.785,0.0,544.732,170.357,234.685,747.602,628.738,2.295813815,0.099255107,0.473375705,0.343621727,968.753,37.732,38.5742,0.0,40.024000000000015,BB-
32240.0,2291.0,14.0,7840.0,7045.0,7337.0,15942.0,21410.0,2.02233095,0.21851737,0.223212656,0.214329176,16298.0,396.0,19.1828,3571.0,1030.0,A
4931.2,561.0,59.7,1575.8,1083.3,1902.9,3105.8,1211.4,1.587739069,0.219682836,0.379668795,0.216141261,1825.4,93.6,17.3066,618.7,448.1,BBB+
2263.801,62.843,41.936,829.709,301.84,593.44,1905.467,757.717,1.188055736,0.133333274,0.287277477,0.146117271,358.334,47.111,3.893,177.265,21.79400000000001,BB+
4532.142,893.167,252.481,1559.895,797.107,2329.362,3023.748,3534.618,1.49884911,0.175878646,0.544598847,0.186361567,1465.664,93.098,11.7699,339.572,230.956,BBB
2262.064,209.665,9.491,512.129,145.247,196.452,865.09,-173.337,2.614830827,0.064209943,0.392291241,0.290040956,1396.974,38.575,3.7811,47.473,-36.504000000000005,B
5629.516,374.854,635.501,1548.963,1642.505,3525.428,4109.986,5502.211,1.369716588,0.291766646,0.475011884,0.221309127,1519.53,95.38,6.5827,801.036,719.302,A
103206.0,15133.0,3486.0,16039.0,13426.0,30226.0,76079.0,23283.0,1.356563572,0.130089336,0.271197086,0.120462253,27127.0,621.0,14.5333,6415.0,6571.0,BBB+
2036.4,70.9,1.3,415.0,383.0,580.0,886.5,775.8,2.297123519,0.188076999,0.312584209,0.206413366,1149.9,10.6,12.0408,290.1,36.89999999999998,BBB-
1752.1,99.3,126.9,364.9,285.2,884.6,945.6,1425.7,1.852897631,0.162776097,0.524642667,0.169147737,806.5,9.8,14.0407,176.2,-63.80000000000001,BBB
26125.0,566.0,137.0,11555.0,2301.0,2792.0,21411.0,-5286.0,1.220167204,0.088076555,0.265854123,0.219101124,4714.0,618.0,4.8262,404.0,1070.0,BB-
9230.64,567.985,0.0,1054.89,878.915,993.524,3129.921,2806.471,2.949160698,0.095217125,0.050268547,0.044469766,6100.719,55.446,28.1692,1035.131,838.392,BBB-
